iter	Logloss
0	0.6057886441
1	0.5402463279
2	0.5062505258
3	0.4830806152
4	0.4597885837
5	0.4425032547
6	0.4288063145
7	0.4158246955
8	0.404035132
9	0.3912807747
10	0.3846556265
11	0.3740934043
12	0.3628394943
13	0.3491949131
14	0.3395236165
15	0.3354229979
16	0.3299642578
17	0.3228888918
18	0.3185996154
19	0.31299029
20	0.3044383497
21	0.3007090535
22	0.2968187399
23	0.2923740114
24	0.2897792209
25	0.2854350647
26	0.2810887783
27	0.2757641892
28	0.2733642741
29	0.2684016892
30	0.2656505499
31	0.263406556
32	0.2602184949
33	0.257408933
34	0.2529394936
35	0.2493399307
36	0.2474380807
37	0.2418357141
38	0.240699725
39	0.2385231399
40	0.2360165821
41	0.2332237436
42	0.2324966284
43	0.2307600624
44	0.228629756
45	0.2274875031
46	0.2256042252
47	0.2249426249
48	0.2227218477
49	0.2215372678
50	0.220250683
51	0.2185583721
52	0.2164855442
53	0.2158886174
54	0.2151344524
55	0.2145960452
56	0.2130929662
57	0.2116105594
58	0.2077084275
59	0.2064941066
60	0.206074155
61	0.2044556414
62	0.2032892566
63	0.2022033916
64	0.2011407197
65	0.1994293547
66	0.1976737511
67	0.1971268139
68	0.1965164214
69	0.1952074702
70	0.1938602819
71	0.1926016867
72	0.1919074366
73	0.1912197718
74	0.1909241149
75	0.1900852264
76	0.1888878921
77	0.1879316362
78	0.1873581361
79	0.1870816074
80	0.1860812344
81	0.1850689645
82	0.1848641902
83	0.1843489723
84	0.1839082647
85	0.1828363469
86	0.182406792
87	0.1810302163
88	0.1805587383
89	0.1801659999
90	0.1793061213
91	0.1782514336
92	0.1779372913
93	0.1773072343
94	0.1765027964
95	0.175680503
96	0.1751396237
97	0.1749291274
98	0.174359419
99	0.174205291
100	0.1736991002
101	0.1729994525
102	0.1722625322
103	0.171844685
104	0.1707726516
105	0.169046449
106	0.1687371957
107	0.1677726464
108	0.1673556292
109	0.1669941967
110	0.1657349589
111	0.1652149351
112	0.1644576908
113	0.1635777722
114	0.1632639334
115	0.1628342277
116	0.1625018277
117	0.1618884355
118	0.1612429634
119	0.160311326
120	0.160144844
121	0.1596983894
122	0.1594261998
123	0.1590312472
124	0.1587286173
125	0.1580797191
126	0.157886967
127	0.1573601369
128	0.1570680012
129	0.1568715467
130	0.1566410717
131	0.1564316511
132	0.1560639998
133	0.1557026943
134	0.1552364978
135	0.1549116486
136	0.1544274793
137	0.1542525825
138	0.1535730385
139	0.1528988999
140	0.1518020741
141	0.1514479373
142	0.151247345
143	0.1507937556
144	0.1505510933
145	0.1502672085
146	0.1495697125
147	0.1494416842
148	0.1492560038
149	0.1489952716
150	0.148677825
151	0.1485314693
152	0.1483102725
153	0.1477714767
154	0.1475639558
155	0.1472000656
156	0.1465968307
157	0.1462806396
158	0.1461337582
159	0.1459700203
160	0.1457510971
161	0.1454823656
162	0.1451794398
163	0.1450255722
164	0.1448937897
165	0.1447703466
166	0.1446197929
167	0.1443796303
168	0.1441471741
169	0.1439662097
170	0.1436251852
171	0.1433878016
172	0.1432657933
173	0.143025819
174	0.1426208884
175	0.1424334475
176	0.1421101208
177	0.1416244764
178	0.1414247092
179	0.1413239823
180	0.1410070206
181	0.1405618843
182	0.140304754
183	0.1401965251
184	0.1400468676
185	0.1398523966
186	0.1395687083
187	0.1391654972
188	0.1388348798
189	0.1384540088
190	0.1383101213
191	0.1381036837
192	0.1379957733
193	0.1378228113
194	0.1376352131
195	0.1373886909
196	0.1372499561
197	0.1367156121
198	0.136568297
199	0.1363395217
200	0.136045872
201	0.1356306519
202	0.1354645271
203	0.1352772017
204	0.1345864115
205	0.1344462961
206	0.1341880509
207	0.1340410284
208	0.1339346083
209	0.1337908893
210	0.1336607917
211	0.1334986462
212	0.1334005641
213	0.1330517213
214	0.1329558823
215	0.132867877
216	0.132731664
217	0.1326328072
218	0.1325380134
219	0.1323501197
220	0.132196572
221	0.1320992196
222	0.1319345179
223	0.1318320967
224	0.1317096914
225	0.1315510779
226	0.13136206
227	0.131230992
228	0.1311624353
229	0.1310536806
230	0.1308754732
231	0.1307279545
232	0.1305786143
233	0.1304294907
234	0.1302606588
235	0.1301706466
236	0.1299380673
237	0.1297868512
238	0.1296066784
239	0.1292489049
240	0.1290899964
241	0.1289804652
242	0.1287553227
243	0.1286386484
244	0.1283156135
245	0.1280709879
246	0.1279538707
247	0.1277271061
248	0.1276127251
249	0.127415282
250	0.127177642
251	0.1270214453
252	0.1269022458
253	0.1267664319
254	0.1266966377
255	0.1265785781
256	0.1264467666
257	0.1263367616
258	0.1262091232
259	0.1260901267
260	0.1259505457
261	0.1257814558
262	0.1256632867
263	0.1255269715
264	0.125387235
265	0.1252434708
266	0.1251561617
267	0.1250341287
268	0.1249111095
269	0.1248080139
270	0.1246936554
271	0.124453664
272	0.1243307887
273	0.1242173066
274	0.1241370421
275	0.124051821
276	0.1239044018
277	0.1236939609
278	0.1235842231
279	0.1233540025
280	0.1231758668
281	0.1229439035
282	0.1227614383
283	0.1226670934
284	0.1224583513
285	0.1223056286
286	0.1220099951
287	0.1219492275
288	0.1217682962
289	0.1214978486
290	0.1213880958
291	0.1212212252
292	0.1210275773
293	0.1209168955
294	0.1207663284
295	0.1206381057
296	0.1205287853
297	0.120349217
298	0.1202070065
299	0.1201149851
